2010-07-28 12:29:57 Notice: Notice (8): Undefined variable: groups in [/var/www/CORE3/KERCUS/views/users/add.ctp, line 9]
2010-07-28 12:30:37 Notice: Notice (8): Undefined variable: groups in [/var/www/CORE3/KERCUS/views/users/add.ctp, line 2]
2010-07-28 12:32:51 Notice: Notice (8): Undefined variable: groups in [/var/www/CORE3/KERCUS/views/users/add.ctp, line 2]
2010-07-28 12:33:09 Notice: Notice (8): Undefined property: View::$groups in [/var/www/CORE3/KERCUS/views/users/add.ctp, line 3]
2010-07-28 12:33:10 Notice: Notice (8): Undefined property: View::$groups in [/var/www/CORE3/KERCUS/views/users/add.ctp, line 3]
2010-07-28 12:33:16 Notice: Notice (8): Undefined property: View::$groups in [/var/www/CORE3/KERCUS/views/users/add.ctp, line 3]
2010-07-28 12:33:18 Notice: Notice (8): Undefined property: View::$groups in [/var/www/CORE3/KERCUS/views/users/add.ctp, line 3]
2010-07-28 12:33:18 Notice: Notice (8): Undefined property: View::$groups in [/var/www/CORE3/KERCUS/views/users/add.ctp, line 3]
2010-07-28 12:33:18 Notice: Notice (8): Undefined property: View::$groups in [/var/www/CORE3/KERCUS/views/users/add.ctp, line 3]
2010-07-28 12:34:33 Notice: Notice (8): Undefined property: View::$groups in [/var/www/CORE3/KERCUS/views/users/add.ctp, line 3]
2010-07-28 12:37:02 Notice: Notice (8): Undefined index: Group in [/var/www/CORE3/KERCUS/views/users/view.ctp, line 31]
2010-07-29 11:49:47 Notice: Notice (8): session_start(): ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in [/var/www/CORE3/cake/libs/cake_session.php, line 584]
2010-07-29 11:55:37 Notice: Notice (8): Undefined index: estado in [/var/www/CORE3/KERCUS/views/users/index.ctp, line 29]
2010-07-29 11:55:37 Notice: Notice (8): Undefined index: estado in [/var/www/CORE3/KERCUS/views/users/index.ctp, line 29]
2010-07-29 11:55:37 Notice: Notice (8): Undefined index: estado in [/var/www/CORE3/KERCUS/views/users/index.ctp, line 29]
2010-07-29 12:00:19 Notice: Notice (8): Undefined index: estado in [/var/www/CORE3/KERCUS/views/users/index.ctp, line 29]
2010-07-29 12:00:19 Notice: Notice (8): Undefined index: estado in [/var/www/CORE3/KERCUS/views/users/index.ctp, line 29]
2010-07-29 12:00:19 Notice: Notice (8): Undefined index: estado in [/var/www/CORE3/KERCUS/views/users/index.ctp, line 29]
2010-07-29 12:00:31 Notice: Notice (8): Undefined index: estado in [/var/www/CORE3/KERCUS/views/users/index.ctp, line 29]
2010-07-29 12:00:31 Notice: Notice (8): Undefined index: estado in [/var/www/CORE3/KERCUS/views/users/index.ctp, line 29]
2010-07-29 12:00:31 Notice: Notice (8): Undefined index: estado in [/var/www/CORE3/KERCUS/views/users/index.ctp, line 29]
2010-07-29 12:12:53 Notice: Notice (8): session_start() [http://php.net/function.session-start]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in [/var/www/CORE3/cake/libs/cake_session.php, line 584]
2010-07-29 12:30:13 Notice: Notice (8): session_start() [http://php.net/function.session-start]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in [/var/www/CORE3/cake/libs/cake_session.php, line 584]
2010-07-29 12:31:31 Notice: Notice (8): session_start() [http://php.net/function.session-start]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in [/var/www/CORE3/cake/libs/cake_session.php, line 584]
2010-07-29 13:15:26 Notice: Notice (8): session_start() [http://php.net/function.session-start]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in [/var/www/CORE3/cake/libs/cake_session.php, line 584]
